t 	 H 	 Rt 	 N 	 N_obs 	 Rt_TTI_corrected
218.600000 	 0.007730 	 3.113416 	 41939.575021 	 38381.216201 	 3.433274
218.800000 	 0.007788 	 3.113416 	 42189.699783 	 38381.216201 	 3.433274
219.000000 	 0.007846 	 3.129286 	 42437.775741 	 38381.216201 	 3.449559
219.200000 	 0.007903 	 3.129286 	 42694.566820 	 39568.849867 	 3.439946
219.400000 	 0.007960 	 3.129286 	 42948.593917 	 39568.849867 	 3.439946
219.600000 	 0.008018 	 3.129286 	 43200.073401 	 39568.849867 	 3.439946
219.800000 	 0.008076 	 3.129286 	 43449.205145 	 39568.849867 	 3.439946
220.000000 	 0.008135 	 3.136532 	 43696.454569 	 39568.849867 	 3.447368
220.200000 	 0.008191 	 3.136532 	 43946.915380 	 40797.543366 	 3.437407
220.400000 	 0.008248 	 3.136532 	 44195.302950 	 40797.543366 	 3.437407
220.600000 	 0.008306 	 3.136532 	 44441.781000 	 40797.543366 	 3.437407
220.800000 	 0.008364 	 3.136532 	 44686.500585 	 40797.543366 	 3.437407
221.000000 	 0.008422 	 3.136340 	 44929.593417 	 40797.543366 	 3.437211
221.200000 	 0.008478 	 3.136340 	 45171.054571 	 42047.419051 	 3.431311
221.400000 	 0.008534 	 3.136340 	 45411.149803 	 42047.419051 	 3.431311
221.600000 	 0.008590 	 3.136340 	 45649.987606 	 42047.419051 	 3.431311
221.800000 	 0.008647 	 3.136340 	 45887.667841 	 42047.419051 	 3.431311
222.000000 	 0.008704 	 3.129876 	 46124.020929 	 42047.419051 	 3.424712
222.200000 	 0.008758 	 3.129876 	 46354.548273 	 43297.558459 	 3.424244
222.400000 	 0.008812 	 3.129876 	 46584.393332 	 43297.558459 	 3.424244
222.600000 	 0.008867 	 3.129876 	 46813.610061 	 43297.558459 	 3.424244
222.800000 	 0.008922 	 3.129876 	 47042.247760 	 43297.558459 	 3.424244
223.000000 	 0.008977 	 3.118265 	 47269.871720 	 43297.558459 	 3.412389
223.200000 	 0.009028 	 3.118265 	 47488.114145 	 44529.728714 	 3.411928
223.400000 	 0.009080 	 3.118265 	 47706.307769 	 44529.728714 	 3.411928
223.600000 	 0.009132 	 3.118265 	 47924.454945 	 44529.728714 	 3.411928
223.800000 	 0.009184 	 3.118265 	 48142.557127 	 44529.728714 	 3.411928
224.000000 	 0.009237 	 3.102568 	 48359.952772 	 44529.728714 	 3.395901
224.200000 	 0.009285 	 3.102568 	 48564.995116 	 45729.242916 	 3.395453
224.400000 	 0.009334 	 3.102568 	 48770.474445 	 45729.242916 	 3.395453
224.600000 	 0.009384 	 3.102568 	 48976.349632 	 45729.242916 	 3.395453
224.800000 	 0.009433 	 3.102568 	 49182.581826 	 45729.242916 	 3.395453
225.000000 	 0.009483 	 3.083767 	 49388.325031 	 45729.242916 	 3.376257
